file,line,kind,code
src/api/utility-messages.ts,315,as any,"      const sql = db.getSQL() as any;"
src/api/service-control.test.ts,22,: any,"    securityHeaders: async (_c: any, next: any) => {"
src/api/service-control.test.ts,25,: any,"    rateLimiter: async (c: any, next: any) => {"
src/api/service-control.test.ts,52,: any,"  let api: any;"
src/api/service-control.test.ts,53,: any,"  let app: any;"
src/api/service-control.test.ts,54,: any,"  let db: any;"
src/api/service-control.test.ts,55,: any,"  let sql: any;"
src/api/service-control.test.ts,321,: any,"      services.forEach((service: any) => {"
src/api/service-control.test.ts,355,: any,"      services.forEach((service: any) => {"
src/api/service-control.test.ts,377,: any,"      const instagramHealth = healthData.find((h: any) => h.service === 'انستغرام');"
src/internal/test/dev-routes.ts,18,: any,"  async query(sql: string, params: any[] = []): Promise<any[]> {"
src/internal/test/dev-routes.ts,30,: any,"  async testRLS(): Promise<{ withoutContext: any[]; withContext: any[] }> {"
src/internal/test/dev-routes.ts,45,: any,"  private dlq: any[] = [];"
src/internal/test/dev-routes.ts,48,: any,"  async addJob(eventId: string, data: any): Promise<{ duplicate: boolean; jobId?: string }> {"
src/internal/test/dev-routes.ts,89,: any,"  getDLQStats(): { jobs: number; entries: any[] } {"
src/database/rls-wrapper.ts,31,as any,"    const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,60,as any,"    const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,80,as any,"    const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,103,as any,"    const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,129,: any,"  async query<T>(strings: TemplateStringsArray, ...params: any[]): Promise<T[]> {"
src/database/rls-wrapper.ts,141,as any,"    return await (sql as any)(strings, ...params);"
src/database/rls-wrapper.ts,151,as any,"    const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,152,: any,"    return await sql.transaction(async (trx: any) => {"
src/database/rls-wrapper.ts,225,: any,"  private async logAudit(action: string, userId?: string, details?: any): Promise<void> {"
src/database/rls-wrapper.ts,227,as any,"      const sql = this.db.getSQL() as any;"
src/database/rls-wrapper.ts,261,: any,"    public readonly contextInfo: any"
src/database/migrate.test.ts,18,: any,"  let db: any;"
src/database/migrate.test.ts,19,: any,"  let sql: any;"
src/database/migrate.test.ts,79,: any,"      const columns = tableInfo.map((col: any) => col.column_name);"
src/database/migrate.test.ts,414,: any,"      expect(columns.find((c: any) => c.column_name === 'metadata').data_type).toBe('jsonb');"
src/database/migrate.test.ts,423,: any,"      expect(constraints.some((c: any) => c.constraint_type === 'CHECK')).toBe(true);"
src/database/migrate.test.ts,424,: any,"      expect(constraints.some((c: any) => c.constraint_type === 'UNIQUE')).toBe(true);"
src/repos/message.repo.ts,88,as any,"    status: row.status as any,"
src/repos/message.repo.ts,107,: any,"  const params: any[] = [messageId, status];"
src/repos/message.repo.ts,154,: any,"  let params: any[] = [merchantId];"
src/repos/message.repo.ts,229,as any,"    status: row.status as any,"
src/repos/message.repo.ts,274,: any,"  let params: any[] = [merchantId];"
src/api/service-controller.ts,83,: any,"  private async toggleService(c: any) {"
src/repositories/merchant-repository.test.ts,17,: any,"  let db: any;"
src/repositories/merchant-repository.test.ts,18,: any,"  let sql: any;"
src/repositories/merchant-repository.test.ts,618,as any,"          subscriptionTier: data.tier as any"
src/api/instagram-auth.ts,256,as any,"    }, statusCode as any);"
src/api/instagram-auth.ts,312,as any,"    const account = integration[0] as any;"
src/api/instagram-auth.ts,418,as any,"    const currentToken = (result[0] as any).instagram_access_token;"
src/api/instagram-auth.ts,484,as any,"    const expiresAt = new Date((record as any).token_expires_at);"
src/api/instagram-auth.ts,496,as any,"    const isValid = await oauthService.validateToken((record as any).instagram_access_token);"
src/database/migrate.ts,265,as any,"    const sql = this.db.getSQL() as any;"
src/database/migrate.ts,296,as any,"    const sql = this.db.getSQL() as any;"
src/database/migrate.ts,429,: any,"        status.migrations.forEach((m: any) => {"
src/routes/admin.ts,34,: any,"    } catch (error: any) {"
src/routes/admin.ts,54,: any,"    } catch (error: any) {"
src/routes/admin.ts,65,: any,"    } catch (error: any) {"
src/routes/admin.ts,99,: any,"    } catch (error: any) {"
src/routes/admin.ts,129,: any,"    } catch (error: any) {"
src/routes/admin.ts,158,: any,"    } catch (error: any) {"
src/routes/admin.ts,200,: any,"    } catch (error: any) {"
src/routes/admin.ts,228,: any,"    } catch (error: any) {"
src/routes/admin.ts,252,: any,"    } catch (error: any) {"
src/routes/admin.ts,289,: any,"    } catch (error: any) {"
src/startup/runMigrations.ts,43,: any,"  } catch (e: any) {"
src/repositories/index.ts,171,: any,"    merchants: any;"
src/repositories/index.ts,172,: any,"    conversations: any;"
src/repositories/index.ts,173,: any,"    messages: any;"
src/repositories/index.ts,174,: any,"    credentials: any;"
src/startup/ensurePageMapping.ts,60,: any,"  } catch (e: any) {"
src/startup/redis.ts,83,: any,"  } catch (error: any) {"
src/startup/redis.ts,138,: any,"  } catch (error: any) {"
src/container/index.ts,31,: any,"  aiService?: any;"
src/container/index.ts,32,: any,"  instagramService?: any;"
src/container/index.ts,33,: any,"  webhookService?: any;"
src/container/index.ts,34,: any,"  utilityMessagesService?: any;"
src/container/index.ts,72,: any,"    } catch (error: any) {"
src/container/index.ts,122,: any,"      } catch (error: any) {"
src/container/index.ts,201,: any,"      } catch (error: any) {"
src/container/index.ts,220,: any,"  return function <T extends { new (...args: any[]): {} }>(constructor: T) {"
src/container/index.ts,236,: any,"  return function (target: any, propertyKey: string | symbol | undefined, parameterIndex: number) {"
src/container/index.ts,238,as any,"    const existingTokens = (Reflect as any).getMetadata?.('inject-tokens', target) || [];"
src/container/index.ts,240,as any,"    (Reflect as any).defineMetadata?.('inject-tokens', existingTokens, target);"
src/db/adapter.ts,49,: any,"    } catch (error: any) {"
src/db/adapter.ts,85,: any,"    } catch (error: any) {"
src/db/adapter.ts,119,: any,"    } catch (error: any) {"
src/startup/migrate.ts,97,: any,"async function seedInitialData(client: any): Promise<void> {"
src/infrastructure/db/sql-tag.ts,4,: any,"export type SQLTag = (strings: TemplateStringsArray, ...values: any[]) => Promise<any[]>;"
src/infrastructure/db/sql-tag.ts,6,: any,"function compileTemplate(strings: TemplateStringsArray, values: any[]) {"
src/infrastructure/db/sql-tag.ts,18,: any,"  return async (strings: TemplateStringsArray, ...values: any[]) => {"
src/repositories/conversation-repository.ts,253,: any,"    const updateValues: any[] = [];"
src/repositories/conversation-repository.ts,318,: any,"    let params: any[] = [];"
src/repositories/conversation-repository.ts,386,: any,"    let params: any[] = [];"
src/repositories/conversation-repository.ts,473,: any,"    let params: any[] = [];"
src/db/index.ts,103,: any,"  } catch (error: any) {"
src/db/index.ts,133,: any,"export async function checkDatabaseHealth(): Promise<{ healthy: boolean; details: any }> {"
src/db/index.ts,153,: any,"  } catch (error: any) {"
src/db/index.ts,173,: any,"    } catch (error: any) {"
src/db/index.ts,187,: any,"  params?: any[]"
src/db/index.ts,222,: any,"  } catch (error: any) {"
src/startup/maintenance.ts,33,: any,"  } catch (error: any) {"
src/startup/maintenance.ts,41,: any,"function scheduleQueueMaintenanceTasks(queueManager: any): void {"
src/startup/maintenance.ts,59,: any,"  }).catch((error: any) => {"
src/startup/maintenance.ts,69,: any,"  }).catch((error: any) => {"
src/startup/maintenance.ts,81,: any,"  }).catch((error: any) => {"
src/startup/maintenance.ts,131,: any,"    } catch (error: any) {"
src/startup/maintenance.ts,180,: any,"  } catch (error: any) {"
src/types/shims.d.ts,19,: any,"  [k: string]: any; "
src/services/utility-messages.ts,72,: any,"  private logger!: any;"
src/types/postgres-extensions.d.ts,4,: any,"    join(values: any[], separator: any): Sql<TTypes>;"
src/production-index.ts,92,as any,"        (c as any).rawBody = Buffer.from(body);"
src/production-index.ts,174,: any,"  } catch (error: any) {"
src/production-index.ts,199,: any,"  } catch (error: any) {"
src/queue/db-spool.ts,16,: any,"  jobData: any;"
src/queue/db-spool.ts,27,: any,"  jobData: any;"
src/queue/db-spool.ts,175,: any,"      priorityResult.forEach((row: any) => {"
src/queue/db-spool.ts,179,: any,"      typeResult.forEach((row: any) => {"
src/queue/db-spool.ts,206,as any,"      const deletedCount = (result as any).count || 0;"
src/queue/db-spool.ts,232,as any,"    return ((result as any).count || 0) > 0;"
src/queue/db-spool.ts,246,: any,"  private mapSpooledJob(row: any): SpooledJob {"
src/queue/db-spool.ts,247,: any,"    let jobData: any;"
src/types/instagram.ts,85,: any,"  attachment?: { type: string; payload: any };"
src/services/utility-messages.test.ts,55,: any,"  let mockInstagramClient: any;"
src/services/utility-messages.test.ts,56,: any,"  let mockLogger: any;"
src/services/utility-messages.test.ts,549,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,559,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,569,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,579,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,589,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,599,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,611,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,627,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,642,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,658,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,676,as any,"      (require('./utility-messages.js') as any).utilityMessagesServiceInstance = null;"
src/services/utility-messages.test.ts,745,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,755,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,762,as any,"      const service = utilityMessagesService as any;"
src/services/utility-messages.test.ts,772,as any,"      const service = utilityMessagesService as any;"
src/errors/RedisErrors.test.ts,33,: any,"  let mockLogger: any;"
src/services/instagram-oauth.ts,24,: any,"const jsonAny = async (r: any): Promise<any> => {"
src/services/instagram-oauth.ts,138,as any,"        (e as any).status = res.status;"
src/services/instagram-oauth.ts,143,: any,"    } catch (err: any) {"
src/services/instagram-oauth.ts,290,: any,"      const data: any = await jsonAny(response);"
src/services/instagram-oauth.ts,339,: any,"      const data: any = await this.graphRequest<any>("
src/services/instagram-oauth.ts,371,: any,"      const data: any = await this.graphRequest<any>("
src/services/instagram-oauth.ts,400,: any,"      const data: any = await this.graphRequest<any>("
src/services/instagram-oauth.ts,440,: any,"      const data: any = await jsonAny(response);"
src/services/instagram-oauth.ts,441,: any,"      const grantedPerms = (data.data ?? []).map((p: any) => p.permission);"
src/services/instagram-oauth.ts,505,: any,"      const pagesData: any = await jsonAny(pagesResponse);"
src/services/instagram-oauth.ts,520,: any,"            const igData: any = await jsonAny(igResponse);"
src/services/instagram-oauth.ts,531,: any,"                const accountData: any = await jsonAny(accountResponse);"
src/errors/RedisErrors.ts,136,: any,"  static createFromIORedisError(error: any, context?: Record<string, any>): RedisBaseError {"
src/errors/RedisErrors.ts,197,: any,"    value: any, "
src/errors/RedisErrors.ts,254,: any,"  constructor(private logger?: any) {}"
src/services/monitoring.ts,117,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,205,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,289,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,405,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,416,: any,"    } catch (error: any) {"
src/services/monitoring.ts,434,: any,"    } catch (error: any) {"
src/services/monitoring.ts,478,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,532,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,597,: any,"  private determineQualityStatus(metrics: any): QualityStatus {"
src/services/monitoring.ts,610,: any,"  private generateRecommendations(metrics: any, status: QualityStatus): string[] {"
src/services/monitoring.ts,636,: any,"  private generateAlerts(metrics: any, status: QualityStatus): QualityAlert[] {"
src/services/monitoring.ts,675,: any,"    metrics: any,"
src/services/monitoring.ts,679,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,764,as any,"      const sql = this.db.getSQL() as any;"
src/services/monitoring.ts,803,: any,"  return (req: any, res: any, next: any) => {"
src/services/monitoring.ts,807,: any,"    res.end = function(...args: any[]) {"
src/services/UpstashQuotaMonitor.ts,22,: any,"    private logger: any,"
src/services/UpstashQuotaMonitor.ts,50,: any,"      const data: any = await response.json();"
src/isolation/context.ts,6,: any,"export function serr(e: any) {"
src/isolation/context.ts,55,: any,"  fn: (client: any) => Promise<T>"
src/isolation/context.ts,98,: any,"  logger: any,"
src/isolation/context.ts,99,: any,"  handler: (job: any, data: JobData, client: any) => Promise<T>"
src/isolation/context.ts,101,: any,"  return async (job: any) => {"
src/isolation/context.ts,158,: any,"  logger: any,"
src/isolation/context.ts,159,: any,"  handler: (job: any, data: WebhookJobData, client: any) => Promise<T>"
src/isolation/context.ts,161,: any,"  return async (job: any) => {"
src/isolation/context.ts,188,: any,"  logger: any,"
src/isolation/context.ts,189,: any,"  handler: (job: any, data: AIJobData, client: any) => Promise<T>"
src/isolation/context.ts,191,: any,"  return async (job: any) => {"
src/isolation/context.ts,216,: any,"async function handleTenantJobError(error: any, job: any, logger: any) {"
src/services/RedisConnectionManager.ts,69,: any,"    private logger?: any,"
src/services/RedisConnectionManager.ts,370,: any,"    } catch (error: any) {"
src/services/RedisConnectionManager.ts,499,: any,"      } catch (error: any) {"
src/services/RedisConnectionManager.ts,523,: any,"      } catch (error: any) {"
src/tests/utility-messages.test.ts,48,: any,"    getSQL: () => async (strings: TemplateStringsArray, ...params: any[]) => {"
src/middleware/security.ts,105,: any,"    } catch (rejRes: any) {"
src/middleware/security.ts,142,: any,"    } catch (rejRes: any) {"
src/middleware/security.ts,242,: any,"    } catch (rejRes: any) {"
src/tests/instagram-token-retrieval.test.ts,33,as any,"    (globalThis as any).requireMerchantId = () => 'merchant1';"
src/tests/instagram-token-retrieval.test.ts,39,as any,"    (client as any).db = { getSQL: () => mock(async () => [{"
src/tests/instagram-token-retrieval.test.ts,43,as any,"    }]) } as any;"
src/tests/instagram-token-retrieval.test.ts,51,as any,"    (globalThis as any).fetch = fetchMock;"
src/tests/instagram-token-retrieval.test.ts,73,as any,"    (service as any).db = { getSQL: () => sqlMock } as any;"
src/tests/instagram-token-retrieval.test.ts,75,as any,"    (service as any).getMerchantInstagramUserId = async () => 'ig_user_1';"
src/tests/instagram-token-retrieval.test.ts,76,as any,"    (service as any).getMessageContext = async () => ({ conversationId: '', withinWindow: true });"
src/tests/instagram-token-retrieval.test.ts,77,as any,"    (service as any).logSentMessage = async () => {};"
src/tests/instagram-token-retrieval.test.ts,78,as any,"    (service as any).logFailedMessage = async () => {};"
src/tests/instagram-token-retrieval.test.ts,80,: any,"    const fetchMock = mock(async (_url: string, options: any) => {"
src/tests/instagram-token-retrieval.test.ts,82,as any,"      return { ok: true, json: async () => ({ message_id: 'mid1' }) } as any;"
src/tests/instagram-token-retrieval.test.ts,84,as any,"    (globalThis as any).fetch = fetchMock;"
src/services/instagram-messaging.ts,95,: any,"    messagePayload: any"
src/services/instagram-messaging.ts,118,: any,"        const data: any = await response.json();"
src/services/instagram-messaging.ts,216,: any,"      const responseData: any = await this.sendGraphMessage("
src/services/instagram-messaging.ts,321,: any,"      const responseData: any = await this.sendGraphMessage("
src/services/instagram-messaging.ts,437,: any,"      const responseData: any = await this.sendGraphMessage("
src/services/instagram-messaging.ts,493,: any,"      const result: any[] = await sql`"
src/services/instagram-messaging.ts,545,: any,"      const result: any[] = await sql`"
src/services/instagram-messaging.ts,568,: any,"      const result: any[] = await sql`"
src/services/instagram-messaging.ts,621,: any,"    options: any"
src/services/instagram-messaging.ts,672,: any,"    options: any"
src/services/health-check.ts,41,: any,"  } catch (error: any) {"
src/services/health-check.ts,50,as any,"  const ok = (redis as any).ok === true;"
src/services/health-check.ts,62,: any,"    try { snapshot = await compute(); } catch (e: any) {"
src/services/health-check.ts,69,as any,"  (timer as any).unref?.();"
src/services/monitoring.test.ts,62,: any,"  let db: any;"
src/services/monitoring.test.ts,63,: any,"  let sql: any;"
src/services/redis-monitoring.ts,45,: any,"  private redis: any;"
src/services/redis-monitoring.ts,53,: any,"  constructor(redisConnection?: any) {"
src/services/redis-monitoring.ts,57,: any,"  setRedisConnection(redis: any): void {"
src/services/redis-monitoring.ts,204,: any,"export function getRedisMonitor(redisConnection?: any): RedisMonitor {"
src/tests/sql-injection.test.ts,14,: any,"  let sql: any;"
src/middleware/security.test.ts,82,: any,"  let client: any;"
src/middleware/security.test.ts,115,as any,"      } as any as Context;"
src/middleware/security.test.ts,129,as any,"      } as any as Context;"
src/middleware/security.test.ts,140,as any,"      } as any as Context;"
src/middleware/security.test.ts,154,as any,"      } as any as Context;"
src/tests/instagram-oauth.test.ts,47,: any,"const sql = async (strings: TemplateStringsArray, ...values: any[]) => {"
src/tests/instagram-oauth.test.ts,102,as any,"  delete (globalThis as any).fetch;"
src/tests/instagram-oauth.test.ts,121,as any,"    (globalThis as any).fetch = mock(async () => ({"
src/tests/instagram-oauth.test.ts,133,as any,"    (service as any).exchangeForLongLivedToken = mock(async () => ({"
src/tests/instagram-oauth.test.ts,138,as any,"    (globalThis as any).fetch = mock(async () => ({"
src/services/instagram-message-sender.ts,21,: any,"  attachment: { type: string; payload: any };"
src/services/instagram-message-sender.ts,750,: any,"  private convertToInstagramTemplate(template: MessageTemplate): any {"
src/services/instagram-message-sender.ts,799,: any,"    metadata?: any"
src/services/instagram-message-sender.ts,911,: any,"    metadata?: any"
src/services/meta-rate-limiter.ts,264,: any,"          const err: any = new Error('RATE_LIMIT_EXCEEDED');"
src/services/encryption.ts,68,: any,"export async function readRawBody(c: any, maxBytes = 1024 * 1024): Promise<Buffer> {"
src/services/telemetry.test.ts,36,: any,"  let mockLogger: any;"
src/services/telemetry.test.ts,37,: any,"  let originalPerformance: any;"
src/services/telemetry.test.ts,63,as any,"    } as any;"
src/services/telemetry.test.ts,628,as any,"      (require('./telemetry.js') as any).telemetryServiceInstance = null;"
src/services/telemetry.test.ts,697,: any,"      const circularObj: any = { name: 'test' };"
src/middleware/idempotency.ts,187,: any,"export function hashMerchantAndBody(merchantId: string, body: any): string {"
src/tests/rls-wrapper.test.ts,10,as any,"      const id = (db as any).generateSessionId();"
src/services/ProductionQueueManager.ts,11,: any,"      (resolve: (v: T) => void, reject: (e: any) => void, clear?: () => void) =>"
src/services/ProductionQueueManager.ts,19,: any,"      (resolve: (v: T) => void, reject: (e: any) => void, clear?: () => void) =>"
src/services/ProductionQueueManager.ts,20,: any,"      (e: any) => {"
src/services/ProductionQueueManager.ts,64,: any,"  payload: any;"
src/services/ProductionQueueManager.ts,75,: any,"  connectionInfo?: any;"
src/services/ProductionQueueManager.ts,77,: any,"    redisConnection?: any;"
src/services/ProductionQueueManager.ts,78,: any,"    queueHealth?: any;"
src/services/ProductionQueueManager.ts,79,: any,"    circuitBreaker?: any;"
src/services/ProductionQueueManager.ts,134,: any,"    private logger: any,"
src/services/ProductionQueueManager.ts,844,: any,"    payload: any,"
src/services/ProductionQueueManager.ts,1244,: any,"  private async processAIResponseJob(jobData: any): Promise<any> {"
src/services/ProductionQueueManager.ts,1273,: any,"      let context: any;"
src/services/ProductionQueueManager.ts,1591,: any,"    redisHealth: any;"
src/services/ProductionQueueManager.ts,1769,: any,"    jobData: any,"
src/services/ProductionQueueManager.ts,1781,: any,"      conversationHistory: messageHistory.map((msg: any) => ({"
src/services/ProductionQueueManager.ts,1816,: any,"    jobData: any,"
src/services/ProductionQueueManager.ts,1842,: any,"    jobData: any,"
src/services/ProductionQueueManager.ts,1875,: any,"  private async processNotificationJob(jobData: any): Promise<any> {"
src/services/ProductionQueueManager.ts,1940,: any,"  private async processMessageDeliveryJob(jobData: any): Promise<any> {"
src/middleware/rls-merchant-isolation.ts,43,as any,"      const h1 = (c.req as any).header?.(name);"
src/middleware/rls-merchant-isolation.ts,47,as any,"      const h3 = (c.req as any).headers?.get?.(name);"
src/middleware/rls-merchant-isolation.ts,60,as any,"      const q = (c.req as any).query?.(name);"
src/middleware/rls-merchant-isolation.ts,222,: any,"export function createMerchantSQL(sql: any) {"
src/tests/instagram-messaging.test.ts,15,as any,"      return 0 as any;"
src/tests/instagram-messaging.test.ts,46,as any,"      return 0 as any;"
src/services/instagram-media-manager.ts,478,: any,"      const totalMedia = mediaStats.reduce((sum: number, stat: any) => sum + Number(((stat as unknown) as { type_count: string })?.type_count ?? 0), 0);"
src/services/instagram-media-manager.ts,479,: any,"      const totalResponses = mediaStats.reduce((sum: number, stat: any) => sum + Number(((stat as unknown) as { responses: string })?.responses ?? 0), 0);"
src/services/instagram-media-manager.ts,491,: any,"        topMediaTemplates: templateStats.map((template: any) => ({"
src/services/encryption.test.ts,25,: any,"        const err: any = new Error(message);"
src/middleware/auto-tenant-context.ts,127,as any,"      }) as any;"
src/services/service-controller.ts,85,as any,"    this.pool = (this.db as any).poolInstance;"
src/services/service-controller.ts,200,: any,"      result.forEach((row: any) => {"
src/services/service-controller.ts,291,as any,"          service: service as any,"
src/services/service-controller.ts,327,as any,"          service: service as any,"
src/services/service-controller.ts,363,: any,"      return healthData.map((row: any) => {"
src/services/service-controller.ts,398,: any,"    context?: any"
src/services/service-controller.ts,427,as any,"          service: service as any,"
src/tests/instagram-integration.test.ts,25,: any,"          create: async (params: any) => ({"
src/tests/instagram-integration.test.ts,29,: any,"                  message: params.messages.some((m: any) => m.content?.includes('منتجات')) "
src/tests/instagram-integration.test.ts,35,: any,"                  visualStyle: params.messages.some((m: any) => m.content?.includes('comment')) ? 'post' : 'dm'"
src/tests/instagram-integration.test.ts,50,: any,"    securityHeaders: async (_c: any, next: any) => {"
src/tests/instagram-integration.test.ts,53,: any,"    rateLimiter: async (c: any, next: any) => {"
src/tests/instagram-integration.test.ts,77,: any,"  let db: any;"
src/tests/instagram-integration.test.ts,78,: any,"  let sql: any;"
src/tests/instagram-integration.test.ts,503,as any,"      (router as any).processInstagramEntry = async () => { processed++; };"
src/tests/instagram-integration.test.ts,534,as any,"      (router as any).processInstagramEntry = async () => {};"
src/tests/instagram-media-manager.test.ts,40,as any,"      (manager as any).getMediaTemplate = async () => ({"
src/tests/instagram-media-manager.test.ts,50,as any,"      (manager as any).incrementTemplateUsage = async () => {};"
src/tests/instagram-media-manager.test.ts,51,as any,"      (manager as any).generateTemplateCaption = () => 'generated caption';"
src/tests/hashtag-growth.test.ts,5,as any,"  const sqlStub = { unsafe: async () => [result] } as any;"
src/tests/hashtag-growth.test.ts,9,as any,"  } as any;"
src/tests/hashtag-growth.test.ts,15,as any,"    const growth = await (InstagramHashtagMentionProcessor.prototype as any).calculateHashtagGrowth.call("
src/tests/hashtag-growth.test.ts,26,as any,"    const growth = await (InstagramHashtagMentionProcessor.prototype as any).calculateHashtagGrowth.call("
src/tests/hashtag-growth.test.ts,37,as any,"    const growth = await (InstagramHashtagMentionProcessor.prototype as any).calculateHashtagGrowth.call("
src/tests/hashtag-growth.test.ts,48,as any,"    const growth = await (InstagramHashtagMentionProcessor.prototype as any).calculateHashtagGrowth.call("
